Year,heating,cooling & ventilation,envelope,lighting,appliances,other,,
electricity (BTU),1574393646181.9,221709765933.659,0.0,808967785204.992,3292736859040.23,3917150247492.43,,
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
natural gas (BTU),3280060784231.78,0.0,0.0,0.0,1198582838762.39,0.0,,
petroleum diesel (BTU),10447287670213.7,0.0,0.0,0.0,799772304567.143,0.0,,
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
biomass (BTU),6010213287705.74,0.0,0.0,0.0,0.0,0.0,,
kerosene (BTU),250206841380.471,0.0,0.0,0.0,0.0,0.0,,
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
LPG propane or butane (BTU),4916593974682.79,0.0,0.0,0.0,532549426290.983,0.0,,
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
